HOSTNAME,ARCHIVE_IP,COMMUNITY,DIR,HASH-PASSWORD,LOCATION,LOOPBACK_IP,NEXT_HOP_GW,OOB_GW,PASSWORD,Route,SNMP_BUILDING,SNMP_COUNTRY_CODE,SNMP_FLOOR,SNMP_RACK,archive_username,encrypted-string
rtr1,192.168.100.1,public,rtr1-dir,myHashedPassword,Location-1,192.168.1.1,10.1.1.1,172.16.1.1,myPassword,10.0.0.0/8,rtr1-Building,AU,1,1,system-user,myEncryptedString
rtr2,192.168.100.1,public,rtr2-dir,myHashedPassword,Location-2,192.168.1.2,10.1.1.2,172.16.1.2,myPassword,10.0.0.0/8,rtr2-Building,AU,1,2,system-user,myEncryptedString
rtr3,192.168.100.1,public,rtr3-dir,myHashedPassword,Location-3,192.168.1.3,10.1.1.3,172.16.1.3,myPassword,10.0.0.0/8,rtr3-Building,AU,1,3,system-user,myEncryptedString
rtr4,192.168.100.1,public,rtr4-dir,myHashedPassword,Location-4,192.168.1.4,10.1.1.4,172.16.1.4,myPassword,10.0.0.0/8,rtr4-Building,AU,1,4,system-user,myEncryptedString
rtr5,192.168.100.1,public,rtr5-dir,myHashedPassword,Location-5,192.168.1.5,10.1.1.5,172.16.1.5,myPassword,10.0.0.0/8,rtr5-Building,AU,1,5,system-user,myEncryptedString
rtr6,192.168.100.1,public,rtr6-dir,myHashedPassword,Location-6,192.168.1.6,10.1.1.6,172.16.1.6,myPassword,10.0.0.0/8,rtr6-Building,AU,1,1,system-user,myEncryptedString
rtr7,192.168.100.1,public,rtr7-dir,myHashedPassword,Location-7,192.168.1.7,10.1.1.7,172.16.1.7,myPassword,10.0.0.0/8,rtr7-Building,AU,1,2,system-user,myEncryptedString
rtr8,192.168.100.1,public,rtr8-dir,myHashedPassword,Location-8,192.168.1.8,10.1.1.8,172.16.1.8,myPassword,10.0.0.0/8,rtr8-Building,AU,1,3,system-user,myEncryptedString
rtr9,192.168.100.1,public,rtr9-dir,myHashedPassword,Location-9,192.168.1.9,10.1.1.9,172.16.1.9,myPassword,10.0.0.0/8,rtr9-Building,AU,1,4,system-user,myEncryptedString
rtr10,192.168.100.1,public,rtr10-dir,myHashedPassword,Location-10,192.168.1.10,10.1.1.10,172.16.1.10,myPassword,10.0.0.0/8,rtr10-Building,AU,1,5,system-user,myEncryptedString
rtr11,192.168.100.1,public,rtr11-dir,myHashedPassword,Location-11,192.168.1.11,10.1.1.11,172.16.1.11,myPassword,10.0.0.0/8,rtr11-Building,AU,1,1,system-user,myEncryptedString
rtr12,192.168.100.1,public,rtr12-dir,myHashedPassword,Location-12,192.168.1.12,10.1.1.12,172.16.1.12,myPassword,10.0.0.0/8,rtr12-Building,AU,1,2,system-user,myEncryptedString
rtr13,192.168.100.1,public,rtr13-dir,myHashedPassword,Location-13,192.168.1.13,10.1.1.13,172.16.1.13,myPassword,10.0.0.0/8,rtr13-Building,AU,1,3,system-user,myEncryptedString
rtr14,192.168.100.1,public,rtr14-dir,myHashedPassword,Location-14,192.168.1.14,10.1.1.14,172.16.1.14,myPassword,10.0.0.0/8,rtr14-Building,AU,1,4,system-user,myEncryptedString
rtr15,192.168.100.1,public,rtr15-dir,myHashedPassword,Location-15,192.168.1.15,10.1.1.15,172.16.1.15,myPassword,10.0.0.0/8,rtr15-Building,AU,1,5,system-user,myEncryptedString
rtr16,192.168.100.1,public,rtr16-dir,myHashedPassword,Location-16,192.168.1.16,10.1.1.16,172.16.1.16,myPassword,10.0.0.0/8,rtr16-Building,AU,1,1,system-user,myEncryptedString
rtr17,192.168.100.1,public,rtr17-dir,myHashedPassword,Location-17,192.168.1.17,10.1.1.17,172.16.1.17,myPassword,10.0.0.0/8,rtr17-Building,AU,1,2,system-user,myEncryptedString
rtr18,192.168.100.1,public,rtr18-dir,myHashedPassword,Location-18,192.168.1.18,10.1.1.18,172.16.1.18,myPassword,10.0.0.0/8,rtr18-Building,AU,1,3,system-user,myEncryptedString
rtr19,192.168.100.1,public,rtr19-dir,myHashedPassword,Location-19,192.168.1.19,10.1.1.19,172.16.1.19,myPassword,10.0.0.0/8,rtr19-Building,AU,1,4,system-user,myEncryptedString
rtr20,192.168.100.1,public,rtr20-dir,myHashedPassword,Location-20,192.168.1.20,10.1.1.20,172.16.1.20,myPassword,10.0.0.0/8,rtr20-Building,AU,1,5,system-user,myEncryptedString
rtr21,192.168.100.1,public,rtr21-dir,myHashedPassword,Location-21,192.168.1.21,10.1.1.21,172.16.1.21,myPassword,10.0.0.0/8,rtr21-Building,AU,1,1,system-user,myEncryptedString
rtr22,192.168.100.1,public,rtr22-dir,myHashedPassword,Location-22,192.168.1.22,10.1.1.22,172.16.1.22,myPassword,10.0.0.0/8,rtr22-Building,AU,1,2,system-user,myEncryptedString
rtr23,192.168.100.1,public,rtr23-dir,myHashedPassword,Location-23,192.168.1.23,10.1.1.23,172.16.1.23,myPassword,10.0.0.0/8,rtr23-Building,AU,1,3,system-user,myEncryptedString
rtr24,192.168.100.1,public,rtr24-dir,myHashedPassword,Location-24,192.168.1.24,10.1.1.24,172.16.1.24,myPassword,10.0.0.0/8,rtr24-Building,AU,1,4,system-user,myEncryptedString
rtr25,192.168.100.1,public,rtr25-dir,myHashedPassword,Location-25,192.168.1.25,10.1.1.25,172.16.1.25,myPassword,10.0.0.0/8,rtr25-Building,AU,1,5,system-user,myEncryptedString
rtr26,192.168.100.1,public,rtr26-dir,myHashedPassword,Location-26,192.168.1.26,10.1.1.26,172.16.1.26,myPassword,10.0.0.0/8,rtr26-Building,AU,1,1,system-user,myEncryptedString
rtr27,192.168.100.1,public,rtr27-dir,myHashedPassword,Location-27,192.168.1.27,10.1.1.27,172.16.1.27,myPassword,10.0.0.0/8,rtr27-Building,AU,1,2,system-user,myEncryptedString
rtr28,192.168.100.1,public,rtr28-dir,myHashedPassword,Location-28,192.168.1.28,10.1.1.28,172.16.1.28,myPassword,10.0.0.0/8,rtr28-Building,AU,1,3,system-user,myEncryptedString
rtr29,192.168.100.1,public,rtr29-dir,myHashedPassword,Location-29,192.168.1.29,10.1.1.29,172.16.1.29,myPassword,10.0.0.0/8,rtr29-Building,AU,1,4,system-user,myEncryptedString
